Kwdikos proiontos (<kwdikos>-<kwdikos xrwmatos>-<kwdikos megethous>),pricer,discounted_price
58909-251-01,54,37.8
58909-251-02,54,37.8
58996-005-01,39,19.5
58996-005-03,39,19.5
58996-005-04,39,19.5
59006-004-01,28,14
59030-031-01,44,29
59030-004-01,44,29
59030-003-01,44,29
59030-096-01,44,29
59030-293-01,44,29
58913-013-01,49,34.3
58913-013-02,49,34.3
59039-281-06,43,34.4
59039-281-05,43,34.4
59039-281-04,43,34.4
59039-281-03,43,34.4
59039-281-02,43,34.4
59039-003-06,43,34.4
59039-003-05,43,34.4
59039-003-04,43,34.4
59039-003-03,43,34.4
59039-003-02,43,34.4
59024-436-01,44,30.8
59024-436-02,44,30.8
59015-529-01,33,23.1
59015-529-02,33,23.1
59002-004-01,47,23.5
59019-514-03,54,37.8
59019-514-04,54,37.8
58995-051-01,36,18
59009-506-01,29,14.5
59022-097-01,45,31.5
59022-097-02,45,31.5
59066-019-03,158,126.4
59066-019-04,158,126.4
59066-019-05,158,126.4
59033-013-04,46,32.2
59033-013-03,46,32.2
59068-015-02,148,118.4
59068-015-05,148,118.4
59004-004-01,33,16.5
59005-013-04,45,22.5
59064-281-02,169,135.2
59064-281-03,169,135.2
59064-281-04,169,135.2
59064-281-05,169,135.2
58906-013-01,59,41.3
58906-013-02,59,41.3
59017-004-01,49,35
59017-004-03,49,35
59017-004-05,49,35
59017-281-01,49,35
59017-281-03,49,35
59017-281-05,49,35
59008-006-01,29,14.5
59025-031-04,44,30.8
59025-031-03,44,30.8
59018-013-03,39,27.3
59018-013-04,39,27.3
58301-003-02,85.99,49.9
58301-003-03,85.99,49.9
58301-003-04,85.99,49.9
59040-004-01,40,20
59040-004-02,40,20
59040-004-03,40,20
59040-004-04,40,20
59040-289-01,40,20
59040-289-02,40,20
59040-289-03,40,20
59040-289-04,40,20
59036-351-01,46,32.2
59036-351-02,46,32.2
59023-023-01,44,15.9
59023-013-01,44,15.9
59026-052-01,29,14.5
59023-561-01,44,15.9
59023-019-01,44,15.9
59026-014-01,29,14.5
59037-029-04,52,36.4
59037-029-03,52,36.4
59026-247-01,29,14.5
59026-293-01,29,14.5
59020-013-01,38,15.9
59020-027-01,38,15.9
59020-097-01,38,15.9
59029-293-01,39.9,25
59020-561-01,38,15.9
59029-096-01,39.9,25
59029-003-01,39.9,25
59020-003-01,38,15.9
59020-023-01,38,15.9
59020-029-01,38,15.9
59029-031-01,39.9,25
59000-006-01,35,17.5
59045-396-01,326,277.1
59045-396-02,326,277.1
59045-396-03,326,277.1
59045-396-04,326,277.1
59045-097-01,326,277.1
59045-097-02,326,277.1
59045-097-03,326,277.1
59045-097-04,326,277.1
58894-027-01,109,92.65
58894-027-02,109,92.65
58894-027-03,109,92.65
58894-396-01,109,92.65
58894-396-02,109,92.65
58894-396-03,109,92.65
58210-561-02,132,112.2
58210-561-03,132,112.2
58210-561-04,132,112.2
58210-293-02,132,112.2
58210-293-03,132,112.2
58210-293-04,132,112.2
58205-027-04,174,147.9
58205-027-02,174,147.9
58205-027-03,174,147.9
55627-561-02,159,135.15
55627-561-03,159,135.15
58883-028-03,226,192.1
58883-028-01,226,192.1
58883-028-02,226,192.1
58883-028-04,226,192.1
58874-293-02,238,202.3
58874-293-03,238,202.3
58874-293-04,238,202.3
58947-561-03,194,164.9
58895-028-01,187,158.95
58895-028-02,187,158.95
58895-028-03,187,158.95
49640-013-03,279,89.9
49640-013-05,279,89.9
58886-007-02,430,365.5
58944-488-06,169,143.65
58944-488-04,169,143.65
58944-488-03,169,143.65
58875-293-02,245,208.25
58875-293-03,245,208.25
58875-293-04,245,208.25
56629-022-02,144,69
56629-022-03,144,69
56629-022-04,144,69
50441-465-04,129,49.9
58956-097-09,215,182.75
58956-097-07,215,182.75
58956-097-08,215,182.75
58956-097-06,215,182.75
58873-027-04,255,216.75
58873-027-03,255,216.75
58873-027-02,255,216.75
58867-044-03,122,103.7
58867-044-02,122,103.7
58867-044-01,122,103.7
58866-082-03,129,109.65
58866-082-02,129,109.65
58866-082-01,129,109.65
58946-514-06,258,219.3
58946-514-05,258,219.3
58946-514-02,258,219.3
58946-514-03,258,219.3
58946-514-04,258,219.3
58868-082-01,211,179.35
58868-082-02,211,179.35
58868-082-03,211,179.35
58950-488-07,344,292.4
58876-293-08,277,235.45
58876-293-07,277,235.45
58876-293-06,277,235.45
58876-293-05,277,235.45
58949-561-03,252,214.2
58865-007-03,219,186.15
58865-007-02,219,186.15
58865-007-01,219,186.15
58864-007-03,285,242.25
58864-007-02,285,242.25
58864-007-01,285,242.25
58864-007-04,285,242.25
58863-488-04,242,205.7
58863-488-03,242,205.7
58863-488-02,242,205.7
58863-488-01,242,205.7
58862-530-03,142,120.7
58862-530-02,142,120.7
58862-530-01,142,120.7
58881-396-05,269,228.65
58881-396-03,269,228.65
58881-396-02,269,228.65
58881-396-04,269,228.65
58955-530-08,313,266.05
58955-530-06,313,266.05
58250-007-02,116.23,69
58250-007-01,116.23,69
58952-027-06,196,166.6
58952-027-04,196,166.6
58952-027-03,196,166.6
58945-247-07,218,185.3
58945-247-04,218,185.3
58945-247-06,218,185.3
58958-396-06,199,169.15
58958-396-07,199,169.15
58958-396-08,199,169.15
58958-396-09,199,169.15
58861-530-03,136,115.6
58861-530-02,136,115.6
58861-530-01,136,115.6
58853-097-04,269,228.65
58853-097-03,269,228.65
58853-097-02,269,228.65
58853-097-01,269,228.65
58882-082-03,182,154.7
58882-082-02,182,154.7
58882-082-01,182,154.7
58879-325-03,197,167.45
58879-325-02,197,167.45
58879-325-04,197,167.45
58879-325-05,197,167.45
58849-396-05,284,241.4
58849-396-02,284,241.4
58849-396-03,284,241.4
58849-396-04,284,241.4
58887-007-03,470,399.5
58857-281-05,240,204
58857-281-04,240,204
58857-281-03,240,204
58857-281-02,240,204
58852-027-01,220,187
58852-027-04,220,187
58852-027-02,220,187
58851-044-04,240,204
58851-044-01,240,204
58851-044-03,240,204
58851-044-02,240,204
58848-293-01,220,187
58848-293-03,220,187
58848-293-02,220,187
58847-097-01,239,203.15
58847-097-03,239,203.15
58847-097-02,239,203.15
58846-029-01,289,245.65
58846-029-03,289,245.65
58846-029-02,289,245.65
58845-007-03,196,166.6
58845-007-01,196,166.6
58845-007-02,196,166.6
58844-051-01,239,203.15
58844-051-03,239,203.15
58844-051-02,239,203.15
58798-293-03,306,260.1
58798-293-02,306,260.1
58798-293-01,306,260.1
58546-519-02,184,156.4
58546-519-04,184,156.4
58546-519-03,184,156.4
58544-007-04,247,209.95
58544-007-02,247,209.95
58544-007-03,247,209.95
58941-488-05,271,230.35
58941-488-04,271,230.35
58941-488-02,271,230.35
58941-488-03,271,230.35
58890-007-03,450,382.5
49471-029-07,210,79
58871-465-04,219,186.15
58871-465-03,219,186.15
58871-465-02,219,186.15
58871-465-01,219,186.15
58222-561-01,106.54,
58222-561-02,106.54,
56073-028-02,168,117
56073-028-04,168,117
56073-028-03,168,117
58889-065-04,1200,1020
58894-016-01,109,92.65
58894-016-02,109,92.65
58894-016-03,109,92.65
58870-465-04,175,148.75
58870-465-03,175,148.75
58870-465-02,175,148.75
58870-465-01,175,148.75
58954-396-06,265,225.25
58856-556-01,204,173.4
58856-556-02,204,173.4
58856-556-03,204,173.4
58856-556-04,204,173.4
58888-007-02,520,442
58888-007-04,520,442
58951-096-03,240,204
58940-082-05,240,204
58940-082-02,240,204
58940-082-03,240,204
58960-281-09,345,293.25
58960-281-08,345,293.25
58960-281-07,345,293.25
58960-281-06,345,293.25
58960-281-05,345,293.25
58869-561-05,194,164.9
58869-561-04,194,164.9
58869-561-03,194,164.9
58869-561-02,194,164.9
58203-029-02,218,185.3
58203-029-03,218,185.3
58203-029-04,218,185.3
58850-007-04,311,264.35
58850-007-03,311,264.35
58850-007-02,311,264.35
58850-007-01,311,264.35
58850-247-04,311,264.35
58850-247-03,311,264.35
58850-247-02,311,264.35
58850-247-01,311,264.35
58885-007-03,650,552.5
58872-281-02,349,296.65
58872-281-03,349,296.65
58872-281-04,349,296.65
58872-281-05,349,296.65
58953-029-03,184,156.4
58893-097-01,199,169.15
58943-016-03,252,214.2
58880-027-04,226,192.1
58880-027-03,226,192.1
58880-027-02,226,192.1
58878-097-02,197,167.45
58878-097-03,197,167.45
58878-097-04,197,167.45
58505-561-02,262,222.7
58160-007-02,146,73
58160-007-03,146,73
58160-007-04,146,73
57503-007-05,249,211.65
57503-007-04,249,211.65
57503-007-03,249,211.65
57503-007-02,249,211.65
57459-332-08,195,165.75
57459-332-10,195,165.75
57459-332-09,195,165.75
57459-332-07,195,165.75
56290-022-02,169,99
56290-022-03,169,99
56290-022-04,169,99
56290-022-05,169,99
56128-519-06,236,200.6
56128-519-05,236,200.6
56128-519-04,236,200.6
56128-519-03,236,200.6
57851-082-02,199,169.15
57851-082-03,199,169.15
57851-082-04,199,169.15
58208-007-02,131,111.35
58208-007-03,131,111.35
58208-007-04,131,111.35
58504-019-02,239,203.15
58504-019-03,239,203.15
58504-019-04,239,203.15
58504-019-05,239,203.15
57391-044-02,211,179.35
57391-044-03,211,179.35
57391-044-04,211,179.35
57391-044-05,211,179.35
56065-561-05,219,186.15
56065-561-04,219,186.15
56065-561-03,219,186.15
56065-561-02,219,186.15
58959-396-09,195,165.75
58959-396-07,195,165.75
58959-396-06,195,165.75
58959-396-08,195,165.75
58959-097-06,195,165.75
58959-097-08,195,165.75
58957-561-06,214,181.9
58957-561-04,214,181.9
58957-561-05,214,181.9
58957-561-07,214,181.9
58957-097-06,214,181.9
58957-097-04,214,181.9
58957-097-05,214,181.9
58957-097-07,214,181.9
58737-396-07,149,126.65
58737-396-09,149,126.65
58737-396-08,149,126.65
58737-396-06,149,126.65
58216-069-08,174,147.9
58216-069-07,174,147.9
58216-069-05,174,147.9
58216-069-06,174,147.9
57994-561-09,199,169.15
57994-561-08,199,169.15
57994-561-07,199,169.15
57994-561-06,199,169.15
58478-097-08,168,142.8
58478-097-05,168,142.8
58478-097-06,168,142.8
58478-097-07,168,142.8
58553-281-09,234,198.9
58553-281-08,234,198.9
58553-281-07,234,198.9
58553-281-06,234,198.9
57762-082-09,192,163.2
57762-082-08,192,163.2
57762-082-06,192,163.2
57762-082-07,192,163.2
57720-039-08,208,176.8
57720-039-07,208,176.8
57720-039-09,208,176.8
57720-039-10,208,176.8
58990-005-01,69.9,55.9
58990-023-01,69.9,
58991-004-01,34,17
58989-023-01,36,18
58987-007-01,19.9,9.95
58994-096-01,29,14.5
58993-015-01,36,18
58992-004-01,23,11.5
58992-027-01,23,11.5
58992-005-01,23,11.5
58992-023-01,23,11.5
58986-096-01,38,19
58986-523-01,38,19
58986-097-01,38,19
58985-029-01,28,14
58985-007-01,28,14
58985-023-01,28,14
58985-022-01,28,14
58984-023-01,26,13
58984-096-01,26,13
58988-005-01,42,21
58988-004-01,42,21
58988-023-01,42,21
58983-005-01,38,30.4
58983-005-02,38,30.4
58983-005-03,38,30.4
58983-005-04,38,30.4
58982-293-01,42,21
58823-561-01,34,17
58982-005-01,42,21
58982-530-01,42,21
58982-281-01,42,21
58823-488-01,34,17
56062-465-03,214,181.9
56062-465-02,214,181.9
56062-465-05,214,181.9
56062-465-04,214,181.9
56062-097-03,214,181.9
56062-097-02,214,181.9
56062-097-05,214,181.9
56062-097-04,214,181.9
56062-556-03,214,181.9
56062-556-02,214,181.9
56062-556-05,214,181.9
56062-556-04,214,181.9
56062-443-04,214,181.9
56062-443-03,214,181.9
56062-443-02,214,181.9
56062-443-05,214,181.9
56062-029-03,214,181.9
56062-029-02,214,181.9
56062-029-05,214,181.9
57666-023-05,249,99
57666-023-02,249,99
57666-023-03,249,99
57666-023-04,249,99
58860-051-05,449,381.65
58860-051-04,449,381.65
58860-051-01,449,381.65
58860-051-02,449,381.65
58860-051-03,449,381.65
58822-561-04,299,254.15
58822-561-05,299,254.15
58822-561-06,299,254.15
58822-561-07,299,254.15
58820-052-03,310,263.5
58820-052-04,310,263.5
58820-052-05,310,263.5
58820-052-06,310,263.5
58819-396-01,321,272.85
58819-396-04,321,272.85
58819-396-02,321,272.85
58819-396-03,321,272.85
58818-396-04,359,305.15
58818-396-01,359,305.15
58818-396-02,359,305.15
58818-396-03,359,305.15
58813-097-06,236,200.6
58813-097-05,236,200.6
58813-097-02,236,200.6
58813-097-03,236,200.6
58813-097-04,236,200.6
58811-332-02,237,201.45
58811-332-01,237,201.45
58811-332-03,237,201.45
58811-332-04,237,201.45
58810-332-02,248,210.8
58810-332-01,248,210.8
58810-332-03,248,210.8
58810-332-04,248,210.8
58812-556-02,248,210.8
58812-556-01,248,210.8
58812-556-03,248,210.8
58812-556-04,248,210.8
58802-052-07,342,290.7
58802-052-04,342,290.7
58802-052-05,342,290.7
58802-052-06,342,290.7
58801-051-01,254,
58801-051-02,254,
58801-051-03,254,
58800-561-01,246,209.1
58800-561-02,246,209.1
58800-561-03,246,209.1
58799-556-01,254,190
58799-556-02,254,190
58799-556-03,254,190
58794-556-04,306,260.1
58794-556-07,306,260.1
58794-556-05,306,260.1
58794-556-06,306,260.1
58797-561-01,295,250.75
58797-561-02,295,250.75
58797-561-03,295,250.75
58694-097-02,144,122.4
58694-097-03,144,122.4
58792-556-01,174,147.9
58792-556-02,174,147.9
58792-556-03,174,147.9
58793-396-01,346,294.1
58793-396-02,346,294.1
58793-396-03,346,294.1
58793-247-01,346,294.1
58793-247-02,346,294.1
58793-247-03,346,294.1
55627-007-03,159,135.15
55627-007-02,159,135.15
55627-443-02,159,135.15
55627-550-02,159,135.15
55627-550-03,159,135.15
55627-550-04,159,135.15
55627-488-04,159,135.15
55627-488-02,159,135.15
55627-488-03,159,135.15
55627-465-04,159,135.15
55627-465-03,159,135.15
55627-465-02,159,135.15
55627-396-02,159,135.15
55627-097-04,159,135.15
55627-097-03,159,135.15
55627-097-02,159,135.15
58975-054-04,450,
58975-054-03,450,
58978-054-06,480,
58978-054-08,480,
58980-054-05,600,
58980-054-03,600,
58821-027-04,390,331.5
58821-027-05,390,331.5
58821-027-06,390,331.5
58821-027-07,390,331.5
58805-396-01,387,
58805-396-02,387,
58805-396-03,387,
58981-054-03,950,
58977-054-03,660,
58977-054-05,660,
58979-054-05,550,
58979-054-06,550,
58976-054-07,690,
58974-054-01,470,
58974-054-03,470,
58973-054-02,390,
58973-054-03,390,
58972-054-02,350,
57402-003-07,214,181.9
57402-003-08,214,181.9
57402-003-09,214,181.9
57402-003-10,214,181.9
57402-023-09,214,181.9
57402-023-10,214,181.9
56031-488-05,199,169.15
58214-561-05,149,126.65
58214-561-06,149,126.65
58214-561-07,149,126.65
58214-561-08,149,126.65
57967-003-01,66,56.1
58199-561-05,233,186
58199-561-06,233,186
58184-293-09,275,233.75
58184-293-08,275,233.75
58184-293-10,275,233.75
58184-293-07,275,233.75
58182-519-10,173,147.05
58182-519-09,173,147.05
58182-519-08,173,147.05
58182-519-07,173,147.05
58182-097-09,173,147.05
58182-097-08,173,147.05
58182-097-07,173,147.05
57764-396-06,152,129.2
57764-396-07,152,129.2
57764-396-08,152,129.2
57764-396-09,152,129.2
57762-003-07,192,163.2
57762-042-08,192,163.2
57762-042-09,192,163.2
57762-029-07,192,163.2
57762-029-08,192,163.2
57761-003-06,192,163.2
57761-003-08,192,163.2
57761-003-09,192,163.2
57761-003-07,192,163.2
56080-465-07,289,245.65
56080-465-09,289,245.65
58817-003-03,180,126
58817-003-04,180,126
58817-003-05,180,126
58817-003-06,180,126
58447-566-09,229,194.65
58447-566-08,229,194.65
58447-566-06,229,194.65
58795-097-07,248,210.8
58795-097-06,248,210.8
58795-097-05,248,210.8
57808-027-03,95,40
57808-027-04,95,40
57808-027-05,95,40
57808-396-02,95,40
57808-396-03,95,40
57808-396-04,95,40
57808-396-05,95,40
58806-003-01,78,66.3
58806-003-02,78,66.3
58806-003-03,78,66.3
58553-011-09,234,198.9
58553-011-08,234,198.9
58553-011-07,234,198.9
58553-011-06,234,198.9
58553-012-09,234,198.9
58553-012-08,234,198.9
58553-012-07,234,198.9
58553-012-06,234,198.9
58515-097-04,294,249.9
58515-097-02,294,249.9
58515-097-03,294,249.9
58814-097-03,188,159.8
58814-097-04,188,159.8
58814-097-05,188,159.8
58814-097-06,188,159.8
58737-011-06,149,126.65
58737-011-07,149,126.65
58737-011-08,149,126.65
58737-011-09,149,126.65
58816-097-01,224,190.4
58816-097-02,224,190.4
58816-097-03,224,190.4
58816-097-04,224,190.4
58809-012-01,129,90
58809-012-02,129,90
58809-012-03,129,90
58808-003-02,79,39.5
58808-003-03,79,39.5
58808-003-05,79,39.5
58807-004-03,66,56.1
58807-004-02,66,56.1
58504-015-02,239,203.15
58504-015-03,239,203.15
58504-015-04,239,203.15
58504-015-05,239,203.15
58600-256-05,233,198.05
58600-256-04,233,198.05
58600-256-03,233,198.05
58600-256-02,233,198.05
58597-547-03,196,166.6
58597-547-02,196,166.6
58528-396-02,185,157.25
58528-396-03,185,157.25
58528-396-04,185,157.25
58528-396-05,185,157.25
57728-519-07,179,89
57728-519-06,179,89
57728-519-05,179,89
56058-097-05,189,160.65
56058-097-04,189,160.65
56058-097-03,189,160.65
56058-097-02,189,160.65
57010-020-04,227,109
57010-020-03,227,109
57010-020-02,227,109
57401-465-07,169,143.65
57401-465-09,169,143.65
57401-465-10,169,143.65
57384-556-02,209,177.65
57384-556-03,209,177.65
57384-556-04,209,177.65
58210-007-02,132,112.2
58210-007-03,132,112.2
58210-007-04,132,112.2
58804-007-03,360,306
58804-007-02,360,306
58804-007-01,360,306
58457-004-04,544,380
58457-004-03,544,380
58815-007-04,224,190.4
58815-007-03,224,190.4
58815-007-02,224,190.4
58815-007-01,224,190.4
58028-028-11,289,245.65
58028-028-12,289,245.65
58028-028-13,289,245.65
56080-396-14,289,245.65
56080-396-13,289,245.65
56080-396-12,289,245.65
56080-396-11,289,245.65
56080-396-10,289,245.65
56080-396-09,289,245.65
56080-396-08,289,245.65
56080-396-07,289,245.65
58796-007-01,182,154.7
58796-007-03,182,154.7
58796-007-02,182,154.7
58408-007-07,139,118.15
58408-007-08,139,118.15
58408-007-06,139,118.15
58408-007-05,139,118.15
58757-054-03,1250,1062.5
58227-543-05,599,509.15
58227-543-04,599,509.15
58227-543-03,599,509.15
58227-543-02,599,509.15
58226-543-05,599,509.15
58226-543-03,599,509.15
56080-007-09,289,245.65
56080-007-10,289,245.65
56080-007-08,289,245.65
58115-007-04,392,333.2
58115-007-03,392,333.2
56062-007-04,214,181.9
56062-007-03,214,181.9
56062-007-02,214,181.9
56062-007-05,214,181.9
58743-006-02,52,36.4
58743-006-01,52,36.4
58742-003-02,47,32.9
58742-003-01,47,32.9
58740-003-04,56,39.2
58740-003-03,56,39.2
58739-003-02,39,19.5
58739-003-01,39,19.5
58745-011-03,64,44.8
58738-011-03,46,32.2
58741-501-01,25,
58741-501-02,25,
58733-005-05,59.9,29.95
58733-005-04,59.9,29.95
58733-005-03,59.9,29.95
58733-003-04,59.9,29.95
58733-003-03,59.9,29.95
58143-003-04,119.99,59.99
58143-003-02,119.99,59.99
58143-003-01,119.99,59.99
58513-097-02,239,203.15
58513-097-03,239,203.15
58513-097-04,239,203.15
58513-097-05,239,203.15
58721-003-05,149.9,74.95
58721-003-04,149.9,74.95
58721-003-01,149.9,74.95
58721-003-02,149.9,74.95
58721-003-03,149.9,74.95
58721-016-03,149.9,74.95
58721-016-01,149.9,74.95
58721-016-02,149.9,74.95
58721-016-04,149.9,74.95
58719-001-01,167.5,
58719-001-02,167.5,
58719-001-03,167.5,
58719-001-04,167.5,
58719-001-05,167.5,
58720-027-01,164.9,
58720-027-02,164.9,
58720-027-03,164.9,
58720-027-04,164.9,
57993-396-07,165,140.25
58475-029-06,195,165.75
58475-029-07,195,165.75
58475-029-09,195,165.75
58551-561-06,177,150.45
58551-561-09,177,150.45
58535-577-08,193,164.05
58535-577-07,193,164.05
58535-577-06,193,164.05
58530-028-07,193,164.05
58530-028-06,193,164.05
58454-561-08,229,194.65
58454-488-06,229,194.65
58547-396-05,240,204
58547-396-06,240,204
58547-396-07,240,204
58547-396-08,240,204
58547-519-06,240,204
58547-519-07,240,204
58547-519-08,240,204
58547-519-05,240,204
58552-396-08,142,120.7
58552-396-07,142,120.7
58552-396-06,142,120.7
58552-396-09,142,120.7
58693-003-01,82,69.7
58478-396-06,168,142.8
58478-396-07,168,142.8
58691-004-01,60,51
58550-281-06,169,143.65
58550-281-09,169,143.65
58550-281-08,169,143.65
58550-281-07,169,143.65
58550-028-09,169,143.65
58550-028-06,169,143.65
58549-281-06,204,173.4
58549-281-09,204,173.4
58549-281-08,204,173.4
58549-016-06,204,173.4
58549-016-08,204,173.4
58550-097-08,169,143.65
58550-097-09,169,143.65
58549-015-09,204,173.4
58549-015-07,204,173.4
58549-015-06,204,173.4
58458-097-06,214,181.9
58458-097-07,214,181.9
58458-097-08,214,181.9
58458-097-09,214,181.9
58458-396-06,214,181.9
58458-396-09,214,181.9
58458-396-08,214,181.9
58458-396-07,214,181.9
58450-521-04,327,228
58525-556-07,194,164.9
58525-556-06,194,164.9
58525-556-08,194,164.9
58525-012-08,194,164.9
58525-012-07,194,164.9
58525-012-06,194,164.9
58474-396-08,219,186.15
58474-396-06,219,186.15
58474-396-07,219,186.15
58474-396-09,219,186.15
58474-097-06,219,186.15
58474-097-07,219,186.15
58474-097-08,219,186.15
58474-097-09,219,186.15
