Kwdikos proiontos (<kwdikos>-<kwdikos xrwmatos>-<kwdikos megethous>),pricer,discounted_price
58440-028-06,245,208.25
58440-028-07,245,208.25
58440-028-08,245,208.25
58452-097-05,334,283.9
58452-097-04,334,283.9
58452-097-08,334,283.9
58452-097-07,334,283.9
58452-097-06,334,283.9
58439-028-09,269,228.65
58439-028-08,269,228.65
58441-028-09,255,204
58441-028-08,255,204
58441-028-07,255,204
58441-028-06,255,204
58438-281-06,236,200.6
58438-281-07,236,200.6
58437-396-09,359,287
58437-396-07,359,287
58437-051-09,359,287
58437-051-08,359,287
58437-051-06,359,287
58436-566-09,279,237.15
57992-012-06,194,164.9
57992-012-07,194,164.9
57992-012-08,194,164.9
57992-012-09,194,164.9
57992-097-09,194,164.9
57992-097-08,194,164.9
57992-097-07,194,164.9
57992-003-09,194,164.9
57992-003-08,194,164.9
57992-003-07,194,164.9
57992-003-06,194,164.9
57256-004-01,64,54.4
57256-003-01,64,54.4
58498-375-01,209,177.65
57884-561-09,192,163.2
57884-561-07,192,163.2
58496-097-02,322,273.7
58495-097-02,232,197.2
58599-028-07,240,204
58599-028-09,240,204
58599-028-10,240,204
58608-003-06,87.5,43.75
58608-003-05,87.5,43.75
58608-003-01,87.5,43.75
58608-003-03,87.5,43.75
58608-003-02,87.5,43.75
58608-005-04,87.5,43.75
58608-005-06,87.5,43.75
58608-005-05,87.5,43.75
58608-005-03,87.5,43.75
58608-005-02,87.5,43.75
58621-012-06,97.5,68.25
58621-012-05,97.5,68.25
58621-012-04,97.5,68.25
58621-012-03,97.5,68.25
58621-012-02,97.5,68.25
58696-003-06,39,
58696-003-05,39,
58696-003-02,39,
58697-003-06,29,
58697-003-05,29,
58697-003-03,29,
58697-003-04,29,
58697-003-02,29,
58698-003-03,42,
58698-003-02,42,
58698-003-06,42,
58698-003-05,42,
58698-003-04,42,
58699-041-02,36,28.8
58699-041-06,36,28.8
58699-041-05,36,28.8
58699-041-04,36,28.8
58699-041-03,36,28.8
58701-060-01,39,19.5
58700-011-06,39,
58700-011-04,39,
58700-011-03,39,
58700-011-02,39,
58453-556-09,334,283.9
58453-556-08,334,283.9
58453-556-07,334,283.9
58456-013-07,264,184
58603-016-06,56.25,28.1
58603-016-04,56.25,28.1
58603-016-03,56.25,28.1
58603-016-02,56.25,28.1
58603-016-01,56.25,28.1
58629-011-02,169,
58629-011-03,169,
58629-011-04,169,
58723-040-03,159,79.5
58723-040-01,159,79.5
58723-040-02,159,79.5
58635-016-03,169,84.5
58635-016-04,169,84.5
58635-016-02,169,84.5
58634-016-02,69.9,34.95
58634-016-03,69.9,34.95
58634-016-04,69.9,34.95
58633-012-02,89.9,62.93
58633-012-03,89.9,62.93
58632-022-02,69.9,34.95
58632-022-03,69.9,34.95
58631-022-02,89.9,62.93
58631-022-03,89.9,62.93
58631-022-04,89.9,62.93
58684-006-02,129,90.3
58684-006-03,129,90.3
58630-011-02,129,90.3
58630-011-03,129,90.3
58630-011-04,129,90.3
58687-003-03,79.9,39.95
58687-003-02,79.9,39.95
58685-003-02,159,79.5
58685-003-03,159,79.5
58685-003-04,159,79.5
58686-003-02,79.9,39.95
58686-003-03,79.9,39.95
58686-003-04,79.9,39.95
58689-003-03,84.9,42.45
58689-003-04,84.9,42.45
58689-003-05,84.9,42.45
58689-003-02,84.9,42.45
58682-003-06,87.5,61.25
58682-003-02,87.5,61.25
58682-003-03,87.5,61.25
58682-003-04,87.5,61.25
58682-003-05,87.5,61.25
58681-006-02,97.5,68.25
58681-006-03,97.5,68.25
58681-006-04,97.5,68.25
58681-006-05,97.5,68.25
58679-005-01,72.5,36.25
58679-005-02,72.5,36.25
58679-005-03,72.5,36.25
58679-005-04,72.5,36.25
58679-005-05,72.5,36.25
58678-006-01,72.5,36.25
58678-006-02,72.5,36.25
58678-006-03,72.5,36.25
58678-006-04,72.5,36.25
58678-006-05,72.5,36.25
58677-007-02,67.5,33.75
58677-007-03,67.5,33.75
58677-007-01,67.5,33.75
58676-093-01,47.5,23.75
58676-093-02,47.5,23.75
58676-093-03,47.5,23.75
58676-093-04,47.5,23.75
58616-003-01,69.9,34.95
58616-003-02,69.9,34.95
58616-003-03,69.9,34.95
58616-003-04,69.9,34.95
58614-006-03,62.5,31.25
58614-006-05,62.5,31.25
58617-006-01,62.5,31.25
58614-006-02,62.5,31.25
58614-006-04,62.5,31.25
58613-003-04,64.9,32.45
58613-003-01,64.9,32.45
58613-003-02,64.9,32.45
58613-003-03,64.9,32.45
58613-003-05,64.9,32.45
58620-006-02,89.9,62.93
58620-006-03,89.9,62.93
58619-005-02,77.5,54.25
58619-005-03,77.5,54.25
58619-005-04,77.5,54.25
58619-005-05,77.5,54.25
58618-006-01,87.5,61.25
58618-006-02,87.5,61.25
58618-006-03,87.5,61.25
58618-006-04,87.5,61.25
58617-006-04,105,73.5
58617-006-05,105,73.5
58617-006-02,105,73.5
58617-006-03,105,73.5
58615-012-01,54.9,27.45
58615-012-03,54.9,27.45
58615-012-02,54.9,27.45
58615-012-04,54.9,27.45
58612-006-01,85,42.5
58612-006-02,85,42.5
58612-006-03,85,42.5
58612-006-04,85,42.5
58612-006-05,85,42.5
58611-012-01,56.25,28.1
58611-012-02,56.25,28.1
58611-012-03,56.25,28.1
58611-012-04,56.25,28.1
58611-012-05,56.25,28.1
58611-012-06,56.25,28.1
58611-003-01,56.25,28.1
58611-003-02,56.25,28.1
58611-003-03,56.25,28.1
58611-003-04,56.25,28.1
58611-003-05,56.25,28.1
58611-003-06,56.25,28.1
58607-006-02,49.5,24.75
58607-006-04,49.5,24.75
58607-006-05,49.5,24.75
57762-396-07,192,163.2
57762-396-08,192,163.2
57762-396-06,192,163.2
57762-396-09,192,163.2
58610-003-01,57.5,46
58610-003-02,57.5,46
58610-003-03,57.5,46
58610-003-04,57.5,46
58609-003-03,54.9,27.45
58609-003-01,54.9,27.45
58609-003-02,54.9,27.45
58609-003-04,54.9,27.45
58609-003-05,54.9,27.45
58609-003-06,54.9,27.45
58606-006-02,72.5,36.25
58606-006-03,72.5,36.25
58606-006-04,72.5,36.25
58606-006-05,72.5,36.25
58605-006-01,58.75,29.38
58605-006-04,58.75,29.38
58605-006-02,58.75,29.38
58605-006-05,58.75,29.38
58604-006-01,58.75,29.38
58604-006-02,58.75,29.38
58604-006-03,58.75,29.38
58604-006-04,58.75,29.38
58604-006-05,58.75,29.38
58601-012-06,105,52.5
58601-012-02,105,52.5
58601-012-03,105,52.5
58601-012-04,105,52.5
58601-012-05,105,52.5
58603-003-01,56.25,28.1
58603-003-02,56.25,28.1
58603-003-03,56.25,28.1
58603-003-04,56.25,28.1
58603-003-05,56.25,28.1
58603-003-06,56.25,28.1
58603-012-06,56.25,28.1
58603-012-01,56.25,28.1
58603-012-02,56.25,28.1
58603-012-03,56.25,28.1
58603-012-04,56.25,28.1
58603-012-05,56.25,28.1
58602-016-05,110,55
58602-016-01,110,55
58602-016-02,110,55
58602-016-03,110,55
58602-016-04,110,55
58602-016-06,110,55
58602-003-01,110,55
58602-003-02,110,55
58602-003-03,110,55
58602-003-04,110,55
58602-003-05,110,55
58602-003-06,110,55
57369-588-02,169,89
57369-588-03,169,89
57369-588-04,169,89
58198-016-02,236,200.6
58198-016-03,236,200.6
58198-016-04,236,200.6
58536-012-02,172,146.2
58536-012-03,172,146.2
58536-012-04,172,146.2
58539-281-03,291,247.35
58539-281-04,291,247.35
58539-281-02,291,247.35
58539-281-05,291,247.35
58155-013-02,167,141.95
58155-013-04,167,141.95
58155-561-04,167,141.95
58500-019-01,219,186.15
58500-019-02,219,186.15
58460-023-03,196,156
58460-023-02,196,156
58460-023-04,196,156
58460-023-05,196,156
58460-561-03,196,156
58460-561-04,196,156
58460-561-05,196,156
58516-281-04,182,154.7
58516-281-02,182,154.7
58516-281-03,182,154.7
56073-009-02,168,117
56073-009-04,168,117
56073-009-03,168,117
56073-016-02,168,117
56073-016-04,168,117
56073-016-03,168,117
58542-501-02,159,135.15
58542-501-03,159,135.15
58542-501-04,159,135.15
57851-007-03,199,169.15
57851-007-02,199,169.15
57851-007-04,199,169.15
57851-029-03,199,169.15
57851-029-02,199,169.15
57851-029-04,199,169.15
58545-011-02,199,169.15
58545-011-03,199,169.15
58545-011-04,199,169.15
58399-488-03,185,129
58399-488-04,185,129
58399-488-05,185,129
58451-016-03,278,236.3
58451-016-04,278,236.3
58451-016-02,278,236.3
58159-588-02,163,138.55
58159-588-03,163,138.55
58159-588-04,163,138.55
58444-027-02,239,203.15
58444-027-03,239,203.15
58444-027-04,239,203.15
58444-027-05,239,203.15
58435-029-02,190,114
58435-029-03,190,114
58435-029-04,190,114
58403-027-02,163,99
58403-027-03,163,99
58403-027-04,163,99
58463-519-05,299,254.15
58463-007-04,299,254.15
58463-007-05,299,254.15
58463-007-06,299,254.15
58398-488-03,179,89
58398-488-04,179,89
58398-488-05,179,89
58398-488-02,179,89
58398-007-02,179,89
58398-007-03,179,89
58398-007-04,179,89
58398-007-05,179,89
58398-561-05,179,89
58398-561-02,179,89
58398-561-03,179,89
58398-561-04,179,89
58225-023-02,245,208.25
58225-023-03,245,208.25
58225-023-04,245,208.25
58225-023-05,245,208.25
58225-332-02,245,208.25
58225-332-03,245,208.25
58225-332-04,245,208.25
58225-332-05,245,208.25
58206-293-03,125,106.25
58206-293-04,125,106.25
58206-293-02,125,106.25
58175-521-07,252,126
58175-521-05,252,126
58175-521-03,252,126
57385-027-02,233,198.05
57385-027-03,233,198.05
57385-027-04,233,198.05
56062-027-04,214,181.9
56062-027-03,214,181.9
56062-027-02,214,181.9
56062-027-05,214,181.9
56062-019-04,214,181.9
56062-019-03,214,181.9
56062-019-02,214,181.9
56062-019-05,214,181.9
58541-501-02,119,101.15
58541-501-04,119,101.15
58537-028-02,170,144.5
58537-028-03,170,144.5
58537-028-04,170,144.5
58522-028-02,194,164.9
58522-028-03,194,164.9
58522-028-04,194,164.9
58544-396-04,247,209.95
58544-396-03,247,209.95
58544-396-02,247,209.95
58400-561-02,180,153
58400-561-03,180,153
58443-281-03,142,120.7
58443-281-05,142,120.7
57724-051-02,195,165.75
57724-051-03,195,165.75
57724-051-04,195,165.75
58188-028-02,176,149.6
58188-028-03,176,149.6
58188-028-04,176,149.6
58188-028-05,176,149.6
57942-396-02,216,183.6
57942-396-03,216,183.6
57942-396-04,216,183.6
58524-396-03,194,164.9
58524-396-02,194,164.9
58533-016-03,166,141.1
58533-016-02,166,141.1
58543-020-02,218,185.3
58543-020-03,218,185.3
58543-020-04,218,185.3
58543-020-05,218,185.3
58546-097-04,184,156.4
58546-097-02,184,156.4
58546-097-03,184,156.4
58548-281-08,279,237.15
58548-281-06,279,237.15
58548-281-05,279,237.15
58548-281-07,279,237.15
58548-281-09,279,237.15
58505-396-04,262,222.7
58505-396-03,262,222.7
58505-396-02,262,222.7
58459-488-02,240,204
58459-488-03,240,204
58459-488-04,240,204
58459-488-05,240,204
58459-396-02,240,204
58459-396-03,240,204
58459-396-04,240,204
58459-396-05,240,204
58459-028-02,240,204
58459-028-03,240,204
58459-028-04,240,204
58459-028-05,240,204
58459-561-02,240,204
58459-561-03,240,204
58459-561-04,240,204
58459-561-05,240,204
58459-016-02,240,204
58459-016-03,240,204
58459-016-04,240,204
58459-016-05,240,204
58519-013-02,199,169.15
58519-013-03,199,169.15
58519-013-04,199,169.15
58449-026-02,258,129
58449-026-03,258,129
58449-026-04,258,129
58477-003-02,265,225.25
58477-003-03,265,225.25
58477-003-04,265,225.25
58477-519-02,265,
58477-519-03,265,
58477-519-04,265,
58477-015-04,265,225.25
58477-015-02,265,225.25
58477-015-03,265,225.25
58477-023-04,265,225.25
58477-023-02,265,225.25
58477-023-03,265,225.25
58461-561-02,267,187
58461-561-03,267,187
58461-561-04,267,187
58461-028-02,267,187
58461-028-03,267,187
58461-028-04,267,187
58461-029-02,267,187
58461-029-03,267,187
58461-029-04,267,187
58514-012-02,189,160.65
58514-012-03,189,160.65
58514-012-04,189,160.65
58476-051-02,199,169.15
58476-051-03,199,169.15
58476-051-04,199,169.15
58476-097-02,199,169.15
58476-097-03,199,169.15
58476-097-04,199,169.15
58476-029-02,199,169.15
58476-029-03,199,169.15
58476-029-04,199,169.15
58504-281-05,239,203.15
58504-281-02,239,203.15
58504-281-03,239,203.15
58504-281-04,239,203.15
58504-556-04,239,203.15
58504-556-02,239,203.15
58504-556-03,239,203.15
58504-556-05,239,203.15
58203-097-02,218,185.3
58203-097-03,218,185.3
58203-097-04,218,185.3
58167-007-02,289,245.65
58167-007-03,289,245.65
58167-007-04,289,245.65
58167-007-05,289,245.65
58166-003-05,299,254.15
58166-003-02,299,254.15
58166-003-03,299,254.15
58166-003-04,299,254.15
58166-007-02,299,209
58166-007-03,299,209
58166-007-04,299,209
58166-007-05,299,209
58442-026-02,248,210.8
58442-026-03,248,210.8
58442-026-04,248,210.8
58442-026-05,248,210.8
58442-556-02,248,210.8
58442-556-03,248,210.8
58442-556-04,248,210.8
58442-556-05,248,210.8
58513-561-02,239,203.15
58513-561-03,239,203.15
58513-561-04,239,203.15
58513-561-05,239,203.15
58401-396-02,177,150.45
58401-396-03,177,150.45
58401-396-04,177,150.45
58401-396-05,177,150.45
58401-015-04,177,150.45
58401-015-02,177,150.45
58401-015-03,177,150.45
58401-015-05,177,150.45
58401-561-03,177,150.45
58401-561-02,177,150.45
58401-561-04,177,150.45
58401-561-05,177,150.45
58401-007-02,177,150.45
58401-007-03,177,150.45
58401-007-04,177,150.45
58401-007-05,177,150.45
58217-007-02,109,92.65
58217-007-03,109,92.65
58217-007-04,109,92.65
58225-545-03,245,208.25
58225-545-04,245,208.25
58225-545-05,245,208.25
58225-545-02,245,208.25
58246-016-01,155,99
58246-016-02,155,99
58246-016-03,155,99
58246-016-04,155,99
58246-097-05,155,99
58246-097-01,155,99
58246-097-02,155,99
58246-097-03,155,99
58246-097-04,155,99
58193-396-09,277,235.45
58193-396-10,277,235.45
58193-396-07,277,235.45
58193-396-08,277,235.45
58464-013-03,299,149
58464-013-04,299,149
58420-009-01,229,137
58420-009-02,229,137
58420-009-03,229,137
58198-026-04,236,200.6
58198-026-06,236,200.6
58198-026-03,236,200.6
58197-026-06,175,148.75
58197-026-03,175,148.75
58197-026-05,175,148.75
58197-026-04,175,148.75
58175-023-03,252,126
58176-036-03,283,240.55
58173-396-03,236,200.6
58173-011-03,236,200.6
58200-488-03,209,177.65
58177-007-03,317,269.45
56084-007-04,368,312.8
56084-396-06,368,312.8
56084-396-04,368,312.8
56084-396-08,368,312.8
56084-097-05,368,312.8
56084-097-07,368,312.8
58124-007-04,344,292.4
58124-007-05,344,292.4
58191-028-04,199,169.15
58191-028-03,199,169.15
58191-028-02,199,169.15
58121-007-03,264,224.4
58121-007-04,264,224.4
58121-007-05,264,224.4
58202-028-07,199,169.15
58201-509-05,214,181.9
58201-509-04,214,181.9
58190-556-09,183,155.55
58190-556-10,183,155.55
58181-007-05,265,225.25
58181-550-07,265,225.25
58179-007-08,317,269.45
58179-278-07,317,269.45
58246-029-01,155,99
58246-029-02,155,99
58246-029-03,155,99
58246-029-04,155,99
58178-396-08,331,281.35
58178-396-07,331,281.35
58178-396-06,331,281.35
58178-396-05,331,281.35
58178-396-04,331,281.35
58178-396-03,331,281.35
58178-007-05,331,281.35
58222-051-01,106,
58222-051-02,106,
57988-065-03,400,340
58113-007-04,270,229.5
58113-007-05,270,229.5
58113-007-06,270,229.5
58120-519-05,272,231.2
58199-013-05,233,186
58199-013-06,233,186
58195-396-09,239,203.15
58195-396-10,239,203.15
58195-396-07,239,203.15
53835-561-06,182,154.7
56068-029-05,199,169.15
56068-029-02,199,169.15
56068-029-03,199,169.15
56068-029-04,199,169.15
58407-556-03,149,74
58407-556-02,149,74
58405-247-03,179,143.2
58405-247-04,179,143.2
58405-247-05,179,143.2
58228-007-02,599,509.15
58228-007-03,599,509.15
58228-007-04,599,509.15
58228-007-05,599,509.15
58314-561-03,184,156.4
58314-561-02,184,156.4
58314-561-01,184,156.4
58317-009-03,189,99
58317-009-02,189,99
58317-009-01,189,99
58317-009-04,189,99
58317-029-04,189,99
58317-029-03,189,99
58317-029-02,189,99
58317-029-01,189,99
57469-519-06,256,217.6
57469-519-03,256,217.6
58315-027-03,184,156.4
58315-027-02,184,156.4
58315-027-01,184,156.4
58216-293-06,174,147.9
58216-293-08,174,147.9
58216-293-07,174,147.9
58216-293-05,174,147.9
58215-028-06,268,214
58215-028-08,268,214
58215-028-07,268,214
58215-028-05,268,214
58215-519-05,268,214
58215-519-08,268,214
58215-519-07,268,214
58215-519-06,268,214
58152-556-08,218,185.3
58152-556-07,218,185.3
58152-556-06,218,185.3
58156-281-04,209,177.65
58156-281-03,209,177.65
58156-281-02,209,177.65
58159-015-04,163,138.55
58159-015-02,163,138.55
58159-015-03,163,138.55
58174-488-02,283,141
58174-488-03,283,141
58205-007-03,174,147.9
58205-007-02,174,147.9
58205-007-04,174,147.9
58205-097-04,174,147.9
58205-097-03,174,147.9
58205-097-02,174,147.9
58205-016-04,174,147.9
58205-016-03,174,147.9
58205-016-02,174,147.9
58206-007-03,125,106.25
58206-007-04,125,106.25
58206-007-02,125,106.25
57846-028-10,189,160.65
57846-028-08,189,160.65
57846-028-09,189,160.65
57846-028-07,189,160.65
58245-396-06,229,194.65
58245-396-08,229,194.65
58245-396-09,229,194.65
58245-396-07,229,194.65
57723-022-11,195,165.75
57723-022-10,195,165.75
57723-022-09,195,165.75
57723-022-07,195,165.75
57723-022-08,195,165.75
57723-016-07,195,165.75
57723-016-05,195,165.75
57995-281-06,158,134.3
57995-281-08,158,134.3
57995-281-09,158,134.3
57995-281-07,158,134.3
57886-042-06,152,129.2
57886-042-08,152,129.2
57886-042-09,152,129.2
57886-042-07,152,129.2
58206-009-02,125,106.25
58206-009-03,125,106.25
58206-009-04,125,106.25
58118-396-05,320,272
58118-396-04,320,272
58221-097-04,189,160.65
58221-097-03,189,160.65
58221-097-02,189,160.65
58221-029-02,189,160.65
58221-029-04,189,160.65
58221-029-03,189,160.65
58123-097-03,380,149
58123-097-04,380,149
58123-029-05,380,149
58123-029-04,380,149
58117-013-05,392,274
58117-013-04,392,274
58116-396-05,460,391
58116-396-04,460,391
58218-097-06,143,121.55
58218-097-08,143,121.55
58218-097-05,143,121.55
58218-097-07,143,121.55
58109-007-04,216,183.6
58109-007-05,216,183.6
58109-012-05,216,183.6
58109-012-04,216,183.6
58109-012-06,216,183.6
58109-016-04,216,183.6
58109-016-03,216,183.6
56128-293-03,236,200.6
56128-293-06,236,200.6
56128-293-05,236,200.6
56128-293-04,236,200.6
57758-396-08,152,129.2
57758-396-06,152,129.2
57758-396-07,152,129.2
57758-396-09,152,129.2
57761-051-06,192,163.2
57761-051-08,192,163.2
57761-051-09,192,163.2
57761-051-07,192,163.2
57761-396-09,192,163.2
57761-396-07,192,163.2
57761-396-06,192,163.2
57761-396-08,192,163.2
57720-281-07,208,176.8
57720-281-09,208,176.8
57720-281-10,208,176.8
56292-097-02,199,169.15
56292-097-03,199,169.15
56292-097-04,199,169.15
56292-097-05,199,169.15
58183-519-02,173,147.05
58183-519-03,173,147.05
58183-519-04,173,147.05
58183-519-05,173,147.05
58172-488-02,261,221.85
58172-488-03,261,221.85
58172-488-04,261,221.85
58172-488-05,261,221.85
58243-097-06,146,124.1
58243-097-08,146,124.1
58243-097-09,146,124.1
58243-097-07,146,124.1
58213-396-06,156,132.6
58213-396-08,156,132.6
58213-396-05,156,132.6
58213-396-07,156,132.6
58182-013-09,173,147.05
58182-013-08,173,147.05
58182-013-10,173,147.05
58182-013-07,173,147.05
58172-007-02,261,221.85
58172-007-03,261,221.85
58172-007-04,261,221.85
58172-007-05,261,221.85
57459-012-07,195,165.75
57459-012-08,195,165.75
57459-012-10,195,165.75
57459-012-09,195,165.75
58170-561-02,271,230.35
58170-561-03,271,230.35
58170-561-04,271,230.35
58170-561-05,271,230.35
57459-028-10,195,165.75
57459-028-09,195,165.75
57459-028-07,195,165.75
57459-028-08,195,165.75
58184-028-09,275,233.75
58184-028-08,275,233.75
58184-028-10,275,233.75
58184-028-07,275,233.75
57994-016-09,199,169.15
57994-016-08,199,169.15
57994-016-06,199,169.15
57994-016-07,199,169.15
57994-488-09,199,169.15
57994-488-08,199,169.15
57994-488-06,199,169.15
57994-488-07,199,169.15
57994-396-09,199,169.15
57994-396-08,199,169.15
57994-396-06,199,169.15
57994-396-07,199,169.15
57994-281-09,199,169.15
57994-281-08,199,169.15
57994-281-06,199,169.15
57994-281-07,199,169.15
58244-488-07,210,157
58244-488-09,210,157
58244-488-08,210,157
58244-488-06,210,157
58166-519-02,299,254.15
58166-519-03,299,254.15
58166-519-04,299,254.15
58166-519-05,299,254.15
57874-545-05,289,245.65
57874-545-02,289,245.65
57874-545-03,289,245.65
57874-545-04,289,245.65
58158-488-02,219,186.15
58158-488-03,219,186.15
58158-488-04,219,186.15
57841-029-02,219,186.15
57841-029-03,219,186.15
57841-029-04,219,186.15
57841-029-05,219,186.15
58158-007-02,219,186.15
58158-007-03,219,186.15
58158-007-04,219,186.15
57503-332-02,249,211.65
57503-332-03,249,211.65
57503-332-04,249,211.65
57503-332-05,249,211.65
57396-015-02,169,143.65
57396-015-03,169,143.65
57396-015-04,169,143.65
58169-332-02,328,99
58169-332-03,328,99
58169-332-04,328,99
58169-332-05,328,99
58154-097-02,179,99
58154-097-03,179,99
58154-097-04,179,99
58154-029-02,179,99
58154-029-03,179,99
58154-029-04,179,99
58148-029-02,277,
58148-029-03,277,
58148-029-04,277,
57725-561-02,165,140.25
57725-561-03,165,140.25
57391-488-05,211,179.35
57391-488-02,211,179.35
57391-488-03,211,179.35
57391-488-04,211,179.35
57369-023-02,169,89
57369-023-03,169,89
57369-023-04,169,89
56660-332-05,313,234
56660-332-06,313,234
57375-023-05,306,260.1
57375-023-04,306,260.1
57375-023-03,306,260.1
57375-023-02,306,260.1
58149-029-05,209,104
58149-029-02,209,104
58149-029-03,209,104
58149-029-04,209,104
58249-396-01,117,
58249-396-02,117,
58249-396-03,117,
58248-012-01,129,77
58248-012-02,129,77
58248-012-03,129,77
58248-012-04,129,77
58248-016-04,129,77
58248-016-01,129,77
58248-016-02,129,77
58248-016-03,129,77
58224-488-02,162,129
58224-488-03,162,129
58224-488-04,162,129
58220-561-02,168,142.8
58220-561-03,168,142.8
58220-561-04,168,142.8
58164-530-02,148,65
58164-530-03,148,65
58164-530-04,148,65
58160-530-02,146,73
58160-530-03,146,73
58160-530-04,146,73
58203-027-02,218,185.3
58203-027-03,218,185.3
58203-027-04,218,185.3
58210-016-02,132,112.2
58210-016-03,132,112.2
58210-016-04,132,112.2
58171-027-02,285,242.25
58171-027-03,285,242.25
58171-027-05,285,242.25
58171-027-04,285,242.25
58208-443-02,131,111.35
58208-443-03,131,111.35
58208-443-04,131,111.35
58150-488-02,277,235.45
58150-488-03,277,235.45
58150-488-04,277,235.45
58150-011-02,277,235.45
58150-011-03,277,235.45
58150-011-04,277,235.45
58167-015-02,289,245.65
58167-015-03,289,245.65
58167-015-04,289,245.65
58167-015-05,289,245.65
57851-015-02,199,169.15
57851-015-03,199,169.15
57763-396-06,192,163.2
57763-396-07,192,163.2
57763-396-08,192,163.2
57763-396-09,192,163.2
56902-029-02,189,160.65
56902-029-03,189,160.65
56902-029-04,189,160.65
57942-488-03,216,183.6
57942-488-04,216,183.6
57850-488-02,218,185.3
57850-488-03,218,185.3
57850-488-04,218,185.3
57850-488-05,218,185.3
58037-015-03,215,182.75
58037-015-02,215,182.75
58037-015-04,215,182.75
57676-521-02,139,69
57676-521-03,139,69
57676-521-04,139,69
58059-029-01,210,178.5
58059-029-02,210,178.5
58059-029-03,210,178.5
58059-029-04,210,178.5
57386-009-05,189,
57386-009-04,189,
57386-009-03,189,
57386-009-02,189,
57807-576-05,126,107.1
57807-576-02,126,107.1
57807-576-03,126,107.1
57807-576-04,126,107.1
57807-561-05,126,107.1
57807-561-02,126,107.1
57807-561-03,126,107.1
57807-561-04,126,107.1
57390-025-05,186,158.1
57390-025-04,186,158.1
57390-025-03,186,158.1
57390-025-02,186,158.1
57873-007-02,149,126.65
57873-007-03,149,126.65
57873-007-04,149,126.65
57391-023-02,211,179.35
57391-023-03,211,179.35
57391-023-04,211,179.35
57391-023-05,211,179.35
57382-396-02,186,158.1
57382-396-03,186,158.1
57382-396-04,186,158.1
57382-488-02,186,158.1
57382-488-04,186,158.1
57382-281-02,186,158.1
57382-281-03,186,158.1
57382-281-04,186,158.1
56068-097-02,199,169.15
56068-097-03,199,169.15
56068-097-04,199,169.15
57971-011-05,66,33
57971-011-02,66,33
57971-011-03,66,33
57971-011-04,66,33
57971-011-01,66,33
57903-009-01,47,23.5
57903-009-02,47,23.5
57973-011-01,54,27
57973-011-02,54,27
57973-011-03,54,27
57973-011-04,54,27
58064-040-01,57,28.5
58064-040-02,57,28.5
58064-040-03,57,28.5
58064-040-04,57,28.5
57948-003-01,46,23
57948-003-02,46,23
57948-003-03,46,23
57948-003-04,46,23
57948-003-05,46,23
57211-060-02,69,19.9
57211-013-02,69,19.9
57945-060-01,42,21
57945-060-02,42,21
57945-060-03,42,21
57945-060-04,42,21
57945-060-05,42,21
58072-040-01,54,27
58072-040-02,54,27
58072-040-03,54,27
58072-040-04,54,27
57900-003-01,47,23.5
57900-003-02,47,23.5
58057-002-01,62,31
58057-002-02,62,31
58057-002-03,62,31
58057-002-04,62,31
57944-002-02,42,21
57944-002-03,42,21
57944-002-04,42,21
57944-002-05,42,21
57944-002-06,42,21
57944-002-07,42,21
58061-332-01,66,33
58061-332-02,66,33
58061-332-03,66,33
58061-332-04,66,33
57947-003-01,41,20.5
57947-003-02,41,20.5
57947-003-03,41,20.5
57947-003-05,41,20.5
58063-029-01,62,31
58063-029-02,62,31
58063-029-03,62,31
58063-029-04,62,31
58072-003-01,54,27
58072-003-02,54,27
58072-003-03,54,27
58072-003-04,54,27
58065-013-01,59,29.5
58065-013-03,59,29.5
58065-013-04,59,29.5
58069-029-02,66,33
58069-029-01,66,33
58069-029-03,66,33
58069-029-04,66,33
58064-029-04,57,28.5
58064-029-01,57,28.5
58064-029-02,57,28.5
58064-029-03,57,28.5
57966-003-02,78,66.3
57966-003-03,78,66.3
57966-003-04,78,66.3
57966-003-05,78,66.3
57966-003-06,78,66.3
56988-005-02,41,28.7
56988-005-03,41,28.7
56988-005-04,41,28.7
56988-005-05,41,28.7
56988-005-06,41,28.7
58071-011-03,69,34.5
58071-011-01,69,34.5
58071-011-02,69,34.5
58071-011-04,69,34.5
58071-029-01,69,34.5
58071-029-02,69,34.5
58071-029-03,69,34.5
58071-029-04,69,34.5
57967-016-01,66,56.1
57998-003-02,135,114.75
58002-003-02,145,72.5
58053-005-01,155,108
58053-005-02,155,108
58053-005-03,155,108
58053-005-04,155,108
57725-020-04,165,140.25
57725-020-02,165,140.25
57725-020-03,165,140.25
58055-036-01,268,227.8
58055-036-02,268,227.8
58055-036-03,268,227.8
58055-036-04,268,227.8
58003-003-02,109,76
58003-003-03,109,76
58003-003-04,109,76
58060-003-03,219,186.15
58060-003-04,219,186.15
58060-003-01,219,186.15
58060-003-02,219,186.15
58001-003-02,125,106.25
58001-003-03,125,106.25
58001-003-04,125,106.25
58035-556-02,169,143.65
58035-556-03,169,143.65
58035-556-04,169,143.65
57997-003-02,96,48
57997-003-03,96,48
57997-003-04,96,48
58067-003-01,139,69.5
58067-003-02,139,69.5
58067-003-03,139,69.5
58067-003-04,139,69.5
58067-029-01,139,69.5
58067-029-02,139,69.5
58067-029-03,139,69.5
58067-029-04,139,69.5
58068-097-01,135,114.75
58068-097-02,135,114.75
58068-097-03,135,114.75
58068-097-04,135,114.75
58075-005-01,72,29
58075-005-02,72,29
